case,family,mechanism,param_key,param_value,flag,trade_id,cum_pnl_horizon_inr,delta_vs_base_inr,pnl_inr_t,label
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T04,6482587.0796,0.0,5144.9104,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T06,8619094.2615,0.0,6630.0725,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T07,1061109.0243,0.0,561.4333,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T08,-11726589.8351,0.0,-6980.113,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,T09,10048450.2613,0.0,8373.7086,SENSITIVITY — not base P&L
anchor_premium_-9000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,-9000.0,ASSUMPTION,BOOK,192054770.6625,0.0,13383.6077,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T01,88482610.278,24198785.8451,35112.1469,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T02,62786022.7888,12239091.3408,52321.6857,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T03,40944754.8354,11857349.1479,34120.629,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T04,19033814.6834,12551227.6038,15106.2021,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T05,54848483.3423,21196525.0399,26118.3254,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T06,20995143.6615,12376049.4,16150.1105,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T07,20052136.0254,18991027.0011,10609.5958,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T08,4934372.3992,16660962.2344,2937.1264,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,T09,22229217.5958,12180767.3345,18524.348,SENSITIVITY — not base P&L
anchor_premium_+13000,anchor_premium,REPRICE_SALE,domestic_anchor_premium_inr_t,13000.0,ASSUMPTION,BOOK,334306555.6099,142251784.9474,23296.6241,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T01,68683603.6775,4399779.2446,27255.3983,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T02,52772220.7827,2225289.3347,43976.8507,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T03,31243287.3508,2155881.6633,26036.0728,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T04,8764628.4621,2282041.3825,6956.0543,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T05,37505871.9461,3853913.6436,17859.939,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T06,10869285.0615,2250190.8,8360.9885,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T07,4514023.0245,3452914.0002,2388.372,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T08,-8697323.9743,3029265.8608,-5176.9786,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,T09,12263135.2312,2214684.9699,10219.2794,SENSITIVITY — not base P&L
conversion_8000,conversion,REPRICE_SALE,conversion_cost_inr_t,8000.0,ASSUMPTION,BOOK,217918731.562,25863960.8995,15185.9743,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T01,64283824.4329,0.0,25509.4541,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T03,29087405.6875,0.0,24239.5047,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T04,6482587.0796,0.0,5144.9104,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T06,8619094.2615,0.0,6630.0725,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T07,1061109.0243,0.0,561.4333,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T08,-11726589.8351,0.0,-6980.113,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,T09,10048450.2613,0.0,8373.7086,SENSITIVITY — not base P&L
conversion_12000,conversion,REPRICE_SALE,conversion_cost_inr_t,12000.0,ASSUMPTION,BOOK,192054770.6625,0.0,13383.6077,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T01,57684155.566,-6599668.8668,22890.5379,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T02,47208997.446,-3337934.002,39340.8312,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T03,25853583.1926,-3233822.4949,21544.6527,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T04,3059525.0059,-3423062.0738,2428.1944,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T05,27871087.837,-5780870.4654,13271.9466,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T06,5243808.0615,-3375286.2,4033.6985,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T07,-4118261.9759,-5179371.0003,-2178.9746,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T08,-16270488.6263,-4543898.7912,-9684.8147,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,T09,6726422.8065,-3322027.4549,5605.3523,SENSITIVITY — not base P&L
conversion_18000,conversion,REPRICE_SALE,conversion_cost_inr_t,18000.0,ASSUMPTION,BOOK,153258829.3132,-38795941.3493,10680.0578,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T01,44484817.8324,-19799006.6005,17652.7055,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T02,40533129.4419,-10013802.0061,33777.6079,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T03,19385938.2029,-9701467.4846,16154.9485,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T04,-3786599.1417,-10269186.2213,-3005.2374,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T05,16309346.9062,-17342611.3963,7766.3557,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T06,-1506764.3385,-10125858.6,-1159.0495,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T07,-14477003.9765,-15538113.0009,-7659.7905,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T08,-25358286.2087,-13631696.3736,-15094.218,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,T09,82367.8967,-9966082.3646,68.6399,SENSITIVITY — not base P&L
conversion_30000,conversion,REPRICE_SALE,conversion_cost_inr_t,30000.0,ASSUMPTION,BOOK,75666946.6146,-116387824.0479,5272.958,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T01,64283824.4329,0.0,25509.4541,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T03,29087405.6875,0.0,24239.5047,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T04,6482587.0796,0.0,5144.9104,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T06,8619094.2615,0.0,6630.0725,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T07,1061109.0243,0.0,561.4333,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T08,-11726589.8351,0.0,-6980.113,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,T09,10048450.2613,0.0,8373.7086,SENSITIVITY — not base P&L
desk_share_0.50,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.5,ASSUMPTION,BOOK,192054770.6625,0.0,13383.6077,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T01,51578013.4713,-12705810.9616,20467.4657,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T02,30596476.5618,-19950454.8863,25497.0638,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T03,22650195.7234,-6437209.9641,18875.1631,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T04,4238236.0663,-2244351.0134,3363.6794,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T05,10432657.7507,-23219300.5518,4967.9323,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T06,6941305.1687,-1677789.0927,5339.4655,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T07,-6418684.3284,-7479793.3527,-3396.1293,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T08,-21360066.6141,-9633476.7789,-12714.3254,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,T09,4132777.4644,-5915672.7969,3443.9812,SENSITIVITY — not base P&L
desk_share_0.25,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.25,ASSUMPTION,BOOK,102790911.2641,-89263859.3984,7163.1297,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T01,43954526.8943,-20329297.5386,17442.2726,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T02,18626203.63,-31920727.818,15521.8364,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T03,18787869.745,-10299535.9426,15656.5581,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T04,2891625.4583,-3590961.6214,2294.9408,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T05,-3498922.5804,-37150880.8829,-1666.1536,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T06,5934631.7131,-2684462.5484,4565.1013,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T07,-10906560.34,-11967669.3644,-5770.6668,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T08,-27140152.6814,-15413562.8463,-16154.8528,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,T09,583373.7863,-9465076.475,486.1448,SENSITIVITY — not base P&L
desk_share_0.10,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.1,ASSUMPTION,BOOK,49232595.6251,-142822175.0374,3430.8429,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T01,38872202.5096,-25411621.9233,15425.4772,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T02,10646021.6755,-39900909.7725,8871.6847,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T03,16212985.7593,-12874419.9282,13510.8215,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T04,1993885.0529,-4488702.0267,1582.4485,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T05,-12786642.8011,-46438601.1036,-6088.8775,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T06,5263516.076,-3355578.1855,4048.8585,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T07,-13898477.6811,-14959586.7054,-7353.6919,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T08,-30993543.393,-19266953.5578,-18448.5377,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,T09,-1782895.3324,-11831345.5938,-1485.7461,SENSITIVITY — not base P&L
desk_share_0.00,desk_share,REPRICE_SALE,desk_arb_share_frac (docs/20 S1),0.0,ASSUMPTION,BOOK,13527051.8657,-178527718.7968,942.6517,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T01,51581598.1261,-12702226.3068,20468.8881,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T02,16715473.7303,-33831457.7177,13929.5614,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T03,22220958.362,-6866447.3255,18517.4653,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T04,8353437.3132,1870850.2336,6629.7122,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T05,-2275135.9518,-35927094.2543,-1083.3981,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T06,11763516.076,3144421.8145,9048.8585,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T07,-4480692.9253,-5541801.9496,-2370.737,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T08,-22731254.253,-11004664.4178,-13530.5085,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,T09,4257633.4347,-5790816.8267,3548.0279,SENSITIVITY — not base P&L
desk_margin_5000,desk_margin,REPRICE_SALE,flat trading margin over replacement,5000.0,ASSUMPTION,BOOK,85405533.9122,-106649236.7503,5951.6052,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T01,59207235.4959,-5076588.9369,23494.9347,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T02,20357144.9632,-30189786.4848,16964.2875,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T03,25825741.9237,-3261663.7638,21521.4516,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T04,12169168.6693,5686581.5897,9658.0704,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T05,4031768.1578,-29620190.1447,1919.8896,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T06,15663516.076,7044421.8145,12048.8585,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T07,1169977.9282,108868.9039,619.0359,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T08,-17773880.769,-6047290.9338,-10579.6909,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,T09,7881950.695,-2166499.5664,6568.2922,SENSITIVITY — not base P&L
desk_margin_8000,desk_margin,REPRICE_SALE,flat trading margin over replacement,8000.0,ASSUMPTION,BOOK,128532623.1401,-63522147.5224,8956.9772,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T01,61828328.8242,-2455495.6087,24535.0511,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T02,50546931.448,0.0,42122.4429,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T03,27658260.5772,-1429145.1104,23048.5505,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T04,5113881.4841,-1368705.5956,4058.6361,SENSITIVITY — not base P&L
purchase_discount_0,purchase_discount,REPRICE_SALE,purchase discount USD/t (docs/20 S2 band),0.0,ASSUMPTION,T05,33651958.3024,0.0,16024.742,SENSITIVITY — not base P&L
