ref_case,week_end,grade,lane,freight_terms,freight_shock_pct,bcd_rate_pct,freight_shocked_usd_t,net_arb_base_inr_t,net_arb_shocked_inr_t,window_open_shocked,pnl_impact_1000mt_inr
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,20,2.5,27.6923,51903.27,51535.21,True,-368065.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,20,5.0,27.6923,51903.27,45737.72,True,-6165556.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,20,7.5,27.6923,51903.27,39940.23,True,-11963048.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,20,10.0,27.6923,51903.27,34142.73,True,-17760540.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,40,0.0,32.3077,51903.27,56974.5,True,5071224.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,40,2.5,32.3077,51903.27,51167.15,True,-736129.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,40,5.0,32.3077,51903.27,45359.79,True,-6543482.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,40,7.5,32.3077,51903.27,39552.44,True,-12350835.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,40,10.0,32.3077,51903.27,33745.09,True,-18158188.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,60,0.0,36.9231,51903.27,56616.3,True,4713021.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,60,2.5,36.9231,51903.27,50799.08,True,-1104194.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,60,5.0,36.9231,51903.27,44981.87,True,-6921408.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,60,7.5,36.9231,51903.27,39164.65,True,-12738622.0
first_eligible,2022-03-04,zorba,JEA_NSA,FOB_desk_books_freight,60,10.0,36.9231,51903.27,33347.44,True,-18555837.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-40,0.0,13.8462,51903.27,57690.91,True,5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-40,2.5,13.8462,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-40,5.0,13.8462,51903.27,46115.64,True,-5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-40,7.5,13.8462,51903.27,40328.01,True,-11575261.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-40,10.0,13.8462,51903.27,34540.38,True,-17362891.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-20,0.0,18.4615,51903.27,57690.91,True,5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-20,2.5,18.4615,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-20,5.0,18.4615,51903.27,46115.64,True,-5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-20,7.5,18.4615,51903.27,40328.01,True,-11575261.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,-20,10.0,18.4615,51903.27,34540.38,True,-17362891.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,0,0.0,23.0769,51903.27,57690.91,True,5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,0,2.5,23.0769,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,0,5.0,23.0769,51903.27,46115.64,True,-5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,0,7.5,23.0769,51903.27,40328.01,True,-11575261.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,0,10.0,23.0769,51903.27,34540.38,True,-17362891.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,20,0.0,27.6923,51903.27,57690.91,True,5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,20,2.5,27.6923,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,20,5.0,27.6923,51903.27,46115.64,True,-5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,20,7.5,27.6923,51903.27,40328.01,True,-11575261.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,20,10.0,27.6923,51903.27,34540.38,True,-17362891.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,40,0.0,32.3077,51903.27,57690.91,True,5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,40,2.5,32.3077,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,40,5.0,32.3077,51903.27,46115.64,True,-5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,40,7.5,32.3077,51903.27,40328.01,True,-11575261.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,40,10.0,32.3077,51903.27,34540.38,True,-17362891.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,60,0.0,36.9231,51903.27,57690.91,True,5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,60,2.5,36.9231,51903.27,51903.27,True,0.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,60,5.0,36.9231,51903.27,46115.64,True,-5787630.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,60,7.5,36.9231,51903.27,40328.01,True,-11575261.0
first_eligible,2022-03-04,zorba,JEA_NSA,CFR_seller_books_freight,60,10.0,36.9231,51903.27,34540.38,True,-17362891.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-40,0.0,11.0481,-3677.54,1571.36,False,5248893.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-40,2.5,11.0481,-3677.54,-3076.41,False,601125.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-40,5.0,11.0481,-3677.54,-7724.18,False,-4046642.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-40,7.5,11.0481,-3677.54,-12371.95,False,-8694410.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-40,10.0,11.0481,-3677.54,-17019.71,False,-13342177.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-20,0.0,14.7308,-3677.54,1278.9,False,4956439.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-20,2.5,14.7308,-3677.54,-3376.97,False,300563.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-20,5.0,14.7308,-3677.54,-8032.85,False,-4355314.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-20,7.5,14.7308,-3677.54,-12688.73,False,-9011190.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,-20,10.0,14.7308,-3677.54,-17344.6,False,-13667066.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,0,0.0,18.4135,-3677.54,986.45,False,4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,0,2.5,18.4135,-3677.54,-3677.54,False,0.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,0,5.0,18.4135,-3677.54,-8341.52,False,-4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,0,7.5,18.4135,-3677.54,-13005.51,False,-9327970.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,0,10.0,18.4135,-3677.54,-17669.49,False,-13991955.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,20,0.0,22.0962,-3677.54,694.0,False,4371531.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,20,2.5,22.0962,-3677.54,-3978.1,False,-300563.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,20,5.0,22.0962,-3677.54,-8650.19,False,-4972657.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,20,7.5,22.0962,-3677.54,-13322.29,False,-9644750.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,20,10.0,22.0962,-3677.54,-17994.38,False,-14316844.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,40,0.0,25.7788,-3677.54,401.54,False,4079078.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,40,2.5,25.7788,-3677.54,-4278.66,False,-601125.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,40,5.0,25.7788,-3677.54,-8958.86,False,-5281328.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,40,7.5,25.7788,-3677.54,-13639.07,False,-9961531.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,40,10.0,25.7788,-3677.54,-18319.27,False,-14641733.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,60,0.0,29.4615,-3677.54,109.09,False,3786624.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,60,2.5,29.4615,-3677.54,-4579.22,False,-901688.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,60,5.0,29.4615,-3677.54,-9267.54,False,-5589999.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,60,7.5,29.4615,-3677.54,-13955.85,False,-10278311.0
june_trough,2022-06-17,zorba,JEA_NSA,FOB_desk_books_freight,60,10.0,29.4615,-3677.54,-18644.16,False,-14966622.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-40,0.0,11.0481,-3677.54,986.45,False,4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-40,2.5,11.0481,-3677.54,-3677.54,False,0.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-40,5.0,11.0481,-3677.54,-8341.52,False,-4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-40,7.5,11.0481,-3677.54,-13005.51,False,-9327970.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-40,10.0,11.0481,-3677.54,-17669.49,False,-13991955.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-20,0.0,14.7308,-3677.54,986.45,False,4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-20,2.5,14.7308,-3677.54,-3677.54,False,0.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-20,5.0,14.7308,-3677.54,-8341.52,False,-4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-20,7.5,14.7308,-3677.54,-13005.51,False,-9327970.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,-20,10.0,14.7308,-3677.54,-17669.49,False,-13991955.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,0,0.0,18.4135,-3677.54,986.45,False,4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,0,2.5,18.4135,-3677.54,-3677.54,False,0.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,0,5.0,18.4135,-3677.54,-8341.52,False,-4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,0,7.5,18.4135,-3677.54,-13005.51,False,-9327970.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,0,10.0,18.4135,-3677.54,-17669.49,False,-13991955.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,20,0.0,22.0962,-3677.54,986.45,False,4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,20,2.5,22.0962,-3677.54,-3677.54,False,0.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,20,5.0,22.0962,-3677.54,-8341.52,False,-4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,20,7.5,22.0962,-3677.54,-13005.51,False,-9327970.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,20,10.0,22.0962,-3677.54,-17669.49,False,-13991955.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,40,0.0,25.7788,-3677.54,986.45,False,4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,40,2.5,25.7788,-3677.54,-3677.54,False,0.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,40,5.0,25.7788,-3677.54,-8341.52,False,-4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,40,7.5,25.7788,-3677.54,-13005.51,False,-9327970.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,40,10.0,25.7788,-3677.54,-17669.49,False,-13991955.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,60,0.0,29.4615,-3677.54,986.45,False,4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,60,2.5,29.4615,-3677.54,-3677.54,False,0.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,60,5.0,29.4615,-3677.54,-8341.52,False,-4663985.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,60,7.5,29.4615,-3677.54,-13005.51,False,-9327970.0
june_trough,2022-06-17,zorba,JEA_NSA,CFR_seller_books_freight,60,10.0,29.4615,-3677.54,-17669.49,False,-13991955.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-40,0.0,63.846,49903.86,59072.03,True,9168170.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-40,2.5,63.846,49903.86,53327.02,True,3423159.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-40,5.0,63.846,49903.86,47582.0,True,-2321853.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-40,7.5,63.846,49903.86,41836.99,True,-8066865.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-40,10.0,63.846,49903.86,36091.98,True,-13811877.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-20,0.0,85.128,49903.86,57406.31,True,7502448.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-20,2.5,85.128,49903.86,51615.44,True,1711579.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-20,5.0,85.128,49903.86,45824.57,True,-4079290.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-20,7.5,85.128,49903.86,40033.7,True,-9870159.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,-20,10.0,85.128,49903.86,34242.83,True,-15661028.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,0,0.0,106.41,49903.86,55740.58,True,5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,0,2.5,106.41,49903.86,49903.86,True,0.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,0,5.0,106.41,49903.86,44067.13,True,-5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,0,7.5,106.41,49903.86,38230.4,True,-11673452.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,0,10.0,106.41,49903.86,32393.68,True,-17510178.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,20,0.0,127.692,49903.86,54074.86,True,4171004.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,20,2.5,127.692,49903.86,48192.28,True,-1711579.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,20,5.0,127.692,49903.86,42309.69,True,-7594162.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,20,7.5,127.692,49903.86,36427.11,True,-13476746.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,20,10.0,127.692,49903.86,30544.53,True,-19359329.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,40,0.0,148.974,49903.86,52409.14,True,2505282.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,40,2.5,148.974,49903.86,46480.7,True,-3423159.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,40,5.0,148.974,49903.86,40552.26,True,-9351599.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,40,7.5,148.974,49903.86,34623.82,True,-15280039.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,40,10.0,148.974,49903.86,28695.38,True,-21208479.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,60,0.0,170.256,49903.86,50743.42,True,839559.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,60,2.5,170.256,49903.86,44769.12,True,-5134738.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,60,5.0,170.256,49903.86,38794.82,True,-11109035.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,60,7.5,170.256,49903.86,32820.52,True,-17083333.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,FOB_desk_books_freight,60,10.0,170.256,49903.86,26846.23,True,-23057630.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-40,0.0,63.846,49903.86,55740.58,True,5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-40,2.5,63.846,49903.86,49903.86,True,0.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-40,5.0,63.846,49903.86,44067.13,True,-5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-40,7.5,63.846,49903.86,38230.4,True,-11673452.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-40,10.0,63.846,49903.86,32393.68,True,-17510178.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-20,0.0,85.128,49903.86,55740.58,True,5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-20,2.5,85.128,49903.86,49903.86,True,0.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-20,5.0,85.128,49903.86,44067.13,True,-5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-20,7.5,85.128,49903.86,38230.4,True,-11673452.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,-20,10.0,85.128,49903.86,32393.68,True,-17510178.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,0,0.0,106.41,49903.86,55740.58,True,5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,0,2.5,106.41,49903.86,49903.86,True,0.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,0,5.0,106.41,49903.86,44067.13,True,-5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,0,7.5,106.41,49903.86,38230.4,True,-11673452.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,0,10.0,106.41,49903.86,32393.68,True,-17510178.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,20,0.0,127.692,49903.86,55740.58,True,5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,20,2.5,127.692,49903.86,49903.86,True,0.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,20,5.0,127.692,49903.86,44067.13,True,-5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,20,7.5,127.692,49903.86,38230.4,True,-11673452.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,20,10.0,127.692,49903.86,32393.68,True,-17510178.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,40,0.0,148.974,49903.86,55740.58,True,5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,40,2.5,148.974,49903.86,49903.86,True,0.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,40,5.0,148.974,49903.86,44067.13,True,-5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,40,7.5,148.974,49903.86,38230.4,True,-11673452.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,40,10.0,148.974,49903.86,32393.68,True,-17510178.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,60,0.0,170.256,49903.86,55740.58,True,5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,60,2.5,170.256,49903.86,49903.86,True,0.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,60,5.0,170.256,49903.86,44067.13,True,-5836726.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,60,7.5,170.256,49903.86,38230.4,True,-11673452.0
first_eligible_long_lane,2022-03-04,zorba,USEC_MUN,CFR_seller_books_freight,60,10.0,170.256,49903.86,32393.68,True,-17510178.0
